AchievementId;NameDE;NameEN;DescriptionDE;DescriptionEN;CategoryId;SpellId
6;Stufe 10;Level 10;Erreicht Stufe 10.;Reach level 10.;3268
33;Rauf und runter in der Tundra;Nothing Boring About Borean;Schließt 130 Quests der Boreanischen Tundra ab.;Complete 130 quests in Borean Tundra.;3336
42;Erkundet die Östlichen Königreiche;Explore Eastern Kingdoms;Erkundet die Regionen der Östlichen Königreiche.;Explore the regions of Eastern Kingdoms.;3490
57;Tode im Alteractal;Deaths in Alterac Valley;Tode im Alteractal;Deaths in Alterac Valley;1
60;Tode insgesamt;Total deaths;Tode insgesamt;Total deaths;1
98;Quests abgeschlossen;Quests completed;Quests abgeschlossen;Quests completed;0
107;Kreaturen getötet;Creatures killed;Kreaturen getötet;Creatures killed;4
112;Tode durch Ertrinken;Deaths from drowning;Tode durch Ertrinken;Deaths from drowning;4
116;Handwerksgeselle;Professional Journeyman;Erlangt 150 Fertigkeitspunkte in einem Beruf.;Obtain 150 skill points in a profession.;2846
121;Kochgeselle;Journeyman Cook;Erlangt 150 Fertigkeitspunkte im Kochen.;Obtain 150 skill points in cooking.;1467
126;Anglergeselle;Journeyman Fisherman;Erlangt 150 Fertigkeitspunkte im Angeln.;Obtain 150 skill points in fishing.;580
131;Geselle in Erster Hilfe;Journeyman Medic;Erlangt 150 Fertigkeitspunkte in Erster Hilfe.;Obtain 150 skill points in first aid.;504
154;Sieg im Arathibecken;Arathi Basin Victory;Gewinnt im Arathibecken.;Win Arathi Basin.;3381
166;Sieg in der Kriegshymnenschlucht;Warsong Gulch Victory;Gewinnt in der Kriegshymnenschlucht.;Win Warsong Gulch.;3387
193;Schwerster verursachter Treffer;Largest hit dealt;Schwerster verursachter Treffer;Largest hit dealt;4
208;Sieg im Auge des Sturms;Eye of the Storm Victory;Gewinnt im Auge des Sturms.;Win Eye of the Storm.;3384
218;Sieg im Alteractal;Alterac Valley Victory;Gewinnt im Alteractal.;Win Alterac Valley.;3377
263;Legt den Frostfürsten auf Eis;Ice the Frost Lord;Tötet Ahune in den Sklavenunterkünften.;Slay Ahune in the Slave Pens.;94
273;Auf Metzen!;On Metzen!;Rettet Metzen das Rentier.;Save Metzen the Reindeer.;3703
319;Duelle gewonnen;Duels won;Duelle gewonnen;Duels won;4
321;Tode in Schlachtzügen und Dungeons insgesamt;Total raid and dungeon deaths;Tode in Schlachtzügen und Dungeons insgesamt;Total raid and dungeon deaths;4
328;Erhaltenes Gold insgesamt;Total gold acquired;Erhaltenes Gold insgesamt;Total gold acquired;4
338;Anzahl der besessenen Haustiere;Vanity pets owned;Anzahl der besessenen Haustiere;Vanity pets owned;4
344;Angelegte Verbände;Bandages used;Angelegte Verbände;Bandages used;4
349;Bereiste Flugrouten;Flight paths taken;Bereiste Flugrouten;Flight paths taken;4
377;Höchste Anzahl Fraktionen auf Ehrfürchtig;Most factions at Exalted;Höchste Anzahl Fraktionen auf Ehrfürchtig;Most factions at Exalted;4
397;Die Arena betreten;Step Into The Arena;Gewinnt einen gewerteten Arenakampf.;Win a ranked arena match.;3601
457;Erster Stufe-80-Charakter des Realms!;Realm First! Level 80;Erste Person des Realms, die Stufe 80 erreicht hat.;First person on the realm to achieve level 80.;3275
477;Burg Utgarde;Utgarde Keep;Bezwingt die Bosse der Burg Utgarde.;Defeat the bosses in Utgarde Keep.;3226
503;50 Quests abgeschlossen;50 Quests Completed;Schließt 50 Quests ab.;Complete 50 quests.;3421
522;Jemand mag mich!;Somebody Likes Me;Erreicht einen ehrfürchtigen Ruf.;Raise a reputation to Exalted.;3609
588;Ehrenhafte Siege insgesamt;Total Honorable Kills;Ehrenhafte Siege insgesamt;Total Honorable Kills;1
605;Eine Münze der Urahnen;A Coin of Ancestry;Findet eine Münze der Urahnen.;Receive a Coin of Ancestry.;2717
629;Der Flammenschlund;Ragefire Chasm;Bezwingt Lavawache Gordoth.;Defeat Lava Guard Gordoth.;1662
647;Höllenfeuerbollwerk;Hellfire Ramparts;Bezwingt Omor den Narbenlosen.;Defeat Omor the Unscarred.;3680
728;Erkundet Durotar;Explore Durotar;Erkundet Durotar und deckt die unbekannten Bereiche der Weltkarte auf.;Explore Durotar, revealing the covered areas of the world map.;3532
763;Der brennende Kreuzritter;The Burning Crusader;Bringt alle „Burning Crusade“-Dungeonrufe auf ehrfürchtig.;Raise all of The Burning Crusade dungeon reputations to Exalted.;2365
776;Erkundet den Wald von Elwynn;Explore Elwynn Forest;Erkundet den Wald von Elwynn und deckt die unbekannten Bereiche der Weltkarte auf.;Explore Elwynn Forest, revealing the covered areas of the world map.;3536
796;Wiederbelebungen durch Priester;Resurrected by priests;Wiederbelebungen durch Priester;Resurrected by priests;1
837;Gewonnene Arenen;Arenas won;Gewonnene Arenen;Arenas won;1
839;Gespielte Schlachtfelder;Battlegrounds played;Gespielte Schlachtfelder;Battlegrounds played;1
862;Erkundet die Höllenfeuerhalbinsel;Explore Hellfire Peninsula;Erkundet die Höllenfeuerhalbinsel und deckt die unbekannten Bereiche der Weltkarte auf.;Explore  Hellfire Peninsula, revealing the covered areas of the world map.;3554
913;Respekt vor den Urahnen;To Honor One's Elders;Schließt die unten aufgelisteten Mondfesterfolge ab.;Complete the Lunar Festival achievements listed below.;3698
927;Angelegte epische Gegenstände;Equipped epic items in item slots;Angelegte epische Gegenstände;Equipped epic items in item slots;1
932;5-Spieler-Dungeons betreten;Total 5-player dungeons entered;5-Spieler-Dungeons betreten;Total 5-player dungeons entered;1
939;Hügel wie weiße Elekk;Hills Like White Elekk;Schließt alle Hemet Nesingwary-Quests in Nagrand bis hin zu und inklusive 'Die ultimative Beute' ab.;Complete all of Hemet Nesingwary quests in Nagrand up to and including The Ultimate Bloodsport.;2165
946;Die Argentumdämmerung;The Argent Dawn;Erreicht bei der Argentumdämmerung den Status ehrfürchtig.;Earn Exalted status with the Argent Dawn.;1608
947;Der Argentumkreuzzug;The Argent Crusade;Erreicht beim Argentumkreuzzug den Status ehrfürchtig.;Earn Exalted status with the Argent Crusade.;1672
972;Süßes oder Saures!;Trick or Treat!;Erhaltet eine Handvoll Süßigkeiten von einem der Süßigkeiteneimer in einem Gasthaus.;Receive a handful of treats from one of the Candy Buckets located in an inn.;2652
1017;Darf ich es behalten?;Can I Keep Him?;Erhaltet ein Haustier.;Obtain a pet.;1522
1042;Anzahl an Umarmungen;Number of hugs;Anzahl an Umarmungen;Number of hugs;1
1057;Tode in 2vs2-Arenakämpfen;Deaths in 2v2;Tode in 2vs2-Arenakämpfen;Deaths in 2v2;1
1149;Talentneuverteilungen;Talent tree respecs;Talentneuverteilungen;Talent tree respecs;1
1184;Seltsames Gebräu;Strange Brew;Erhaltet die unten aufgelisteten Braufestbiere. Aber nicht alle auf einmal trinken!;Acquire the Brewfest beers listed below. Don't drink them all at once!;1780
1197;Siege insgesamt;Total kills;Siege insgesamt;Total kills;1
1199;Erlernte Berufe;Professions learned;Erlernte Berufe;Professions learned;1
1242;Siege über Ingvar den Brandschatzer (Burg Utgarde);Ingvar the Plunderer kills (Utgarde Keep);Siege über Ingvar den Brandschatzer (Burg Utgarde);Ingvar the Plunderer kills (Utgarde Keep);2813
1264;Erkundet die Boreanische Tundra;Explore Borean Tundra;Erkundet die Boreanische Tundra und deckt die unbekannten Bereiche der Weltkarte auf.;Explore Borean Tundra, revealing the covered areas of the world map.;3330
1308;Sieg am Strand der Uralten;Strand of the Ancients Victory;Gewinnt am Strand der Uralten.;Win Strand of the Ancients.;3402
1462;Erhaltene Abzeichen der Gerechtigkeit;Badges of Justice acquired;Erhaltene Abzeichen der Gerechtigkeit;Badges of Justice acquired;1
1487;Todesstöße insgesamt;Total Killing Blows;Todesstöße insgesamt;Total Killing Blows;1
1501;Tode durch andere Spieler insgesamt;Total deaths from other players;Tode durch andere Spieler insgesamt;Total deaths from other players;1
1524;Kochfertigkeit;Cooking skill;Kochfertigkeit;Cooking skill;1
1527;Höchste Alchemiefertigkeit;Highest Alchemy skill;Höchste Alchemiefertigkeit;Highest Alchemy skill;1
1701;Sei mein.;Be Mine!;Esst die acht unten aufgelisteten Herzen aus der Bonbontüte.;Eat the eight "Bag of Candies" heart candies listed below.;3196
1717;Sieg in Tausendwinter;Wintergrasp Victory;Gewinnt die Schlacht um Tausendwinter.;Win the battle for Wintergrasp.;187
1791;Allein zu Haus;Home Alone;Benutzt den Ruhestein, während Euer Waisenkind bei Euch ist.;Use your Hearthstone while your orphan is with you.;776
1876;Besiegt den Schwarzen Drachenschwarm (10 Spieler);Besting the Black Dragonflight (10 player);Bezwingt Sartharion den Onyxwächter im 10-Spieler-Modus.;Defeat Sartharion the Onyx Guardian in 10-player mode.;3254
2676;Ich hab eins gefunden!;I Found One!;Findet ein bunt gefärbtes Ei.;Find a Brightly Colored Egg.;3202
