GlyphId;SpellId;Icon
2;52084;3098
21;12320;0
22;12297;0
61;46831;0
81;52084;0
82;52085;0
101;0;0
121;46487;2681
141;54292;3115
161;54810;3114
162;54811;3113
163;54812;3312
164;54813;3124
165;54815;3129
166;54818;3112
167;54821;3128
168;54824;3123
169;54832;3121
170;54733;3127
171;54743;3098
172;54754;3125
173;54825;3119
174;54826;3120
175;54845;3117
176;54830;3122
177;54831;3118
178;54828;3116
179;54756;3126
180;54829;3110
181;54760;3115
182;54912;0
183;54922;3128
184;54925;3121
185;54923;3112
186;54924;3115
187;54926;3117
188;54927;3110
189;54928;3119
190;54929;3118
191;54930;3125
192;54931;3312
193;54934;3122
194;54935;3126
195;54936;3127
196;54937;3129
197;54938;3113
198;54939;3114
199;54940;3124
200;54943;3123
211;55436;3117
212;55437;3118
213;55449;3114
214;55454;3116
215;55442;3124
216;55439;3129
217;55455;3120
218;55450;3113
219;55447;3125
220;55451;3115
221;55443;3122
222;55456;3127
223;55440;3312
224;55438;3112
225;55448;3126
226;55453;3119
227;55441;3121
228;55446;3123
229;55444;3110
230;55452;3098
231;55445;3128
251;55675;3098
252;55677;3112
253;55684;3113
254;55678;3117
255;55679;3115
256;55683;3129
257;55686;3119
258;55673;3312
259;55691;3120
260;55688;3121
261;55681;3128
262;55689;3114
263;55672;3125
264;55680;3123
265;55676;3126
266;55674;3110
267;55690;3118
268;55682;3116
269;55687;3122
270;55692;3127
271;55685;3124
272;56242;3128
273;56235;3121
274;56218;3125
275;56241;3124
276;56232;3098
277;56244;3115
278;56246;3116
279;56249;3114
280;56238;3113
281;56224;3126
282;56217;3123
283;56228;3312
284;56248;3119
285;56226;3127
286;56240;3110
287;56229;3117
288;56216;3118
289;56231;3112
290;56250;3129
291;56233;3120
292;56247;3122
311;56360;3113
312;56363;3115
313;56381;3128
314;56365;3119
315;56380;3110
316;56368;3312
317;56369;3124
318;56376;3125
319;56370;3098
320;56384;3126
321;56372;3112
322;56377;3121
323;56374;3122
324;56371;3127
325;56366;3123
326;56383;3129
327;56367;3117
328;56382;3118
329;56375;3116
330;56364;3120
331;56373;3114
351;56824;3125
352;56841;3126
353;56857;3113
354;56833;3115
355;56851;3119
356;56830;3110
357;56850;3122
358;56844;3127
359;56845;3112
360;56847;3117
361;56829;3129
362;56846;3128
363;56856;3114
364;56836;3118
365;56828;3121
366;56832;3123
367;56849;3124
368;56826;3312
369;56842;3098
370;56838;3116
371;56848;3120
391;56808;3098
392;56813;3128
393;56800;3125
394;56818;3123
395;56820;3114
396;56806;3116
397;56799;3126
398;56802;3113
399;56803;3115
400;56804;3129
401;56812;3119
402;56814;3118
403;56809;3110
404;56807;3124
405;56819;3312
406;56801;3121
407;56798;3122
408;56805;3120
409;56821;3127
410;56810;3112
411;56811;3117
431;57856;3123
432;57858;3119
433;57855;3113
434;57857;3128
435;57862;3110
436;58133;3113
438;58132;3116
439;57866;3119
440;57870;3114
441;57903;3120
442;57902;3120
443;57904;3124
444;57900;3128
445;57924;3129
446;57926;3125
447;57927;3115
448;57928;3112
449;58136;3116
450;52648;3117
451;57925;3121
452;57937;3124
453;57958;3122
454;57979;3123
455;57955;3098
456;57947;3312
457;57954;3110
458;57985;3312
459;57987;3123
460;58009;3118
461;57986;3112
462;58015;3129
463;58228;3119
464;58032;3113
465;58027;3127
466;58017;3115
467;58033;3125
468;58039;3129
469;58038;3116
470;58058;3118
471;58135;3126
472;58134;3126
473;58059;3121
474;58055;3117
475;58063;3098
476;58057;3122
477;58079;3126
478;58070;3127
479;58081;3114
480;58080;3115
481;58107;3126
482;58094;3118
483;58095;3110
484;58096;3124
485;58097;3125
486;58099;3126
487;58098;3122
488;58104;3117
489;58368;3118
490;58369;3114
491;58355;3125
492;58366;3112
493;58388;3124
494;58367;3117
495;58372;3115
496;58357;3126
497;58377;3312
498;58365;3127
499;58386;3110
500;58385;3113
501;58364;3122
502;58375;3121
503;58376;3098
504;58387;3119
505;58384;3129
506;58353;3116
507;58356;3120
508;58382;3123
509;58370;3128
511;58613;3098
512;58623;3120
513;58616;3114
514;58640;3114
515;58673;3125
516;58620;3118
518;58677;3312
519;62259;3126
520;58629;3123
521;58647;3113
522;58680;3116
523;58625;3312
524;58631;3115
525;58671;3124
526;58657;3119
527;58686;3123
528;58669;3116
529;58642;3110
530;58618;3121
531;58635;3122
532;58676;3127
551;59219;3112
552;59289;3098
553;59309;3113
554;59307;3128
555;60200;3127
556;59327;3112
557;59332;3117
558;59336;3128
559;56420;3098
560;56414;3120
561;56416;3116
571;60200;3129
591;61205;3125
611;62126;3129
612;62132;3128
613;62135;3098
631;62080;3098
651;62210;3126
671;62969;3110
672;62970;3112
673;62971;3098
674;63055;3113
675;63056;3114
676;63057;3115
677;63065;3116
691;63066;3117
692;63067;3118
693;63068;3119
694;63069;3120
695;63086;3122
696;63090;3121
697;63091;3123
698;63092;3124
699;63093;3125
700;63095;3126
701;63218;3127
702;63219;3128
703;63220;3312
704;63222;3129
705;63223;3110
706;63224;3112
707;63225;3098
708;63229;3113
709;63231;3114
710;63235;3115
711;63237;3116
712;63246;3117
713;63248;3118
714;63249;3119
715;63252;3120
716;63253;3122
731;63254;3121
732;63256;3123
733;63268;3124
734;63269;3125
735;63270;3126
736;63271;3127
737;63273;3128
751;63279;3312
752;63280;3129
753;63291;3110
754;63298;3112
755;63302;3098
756;63303;3113
757;63304;3114
758;63309;3115
759;63310;3116
760;63320;3117
761;63312;3118
762;63324;3119
763;63325;3120
764;63326;3122
765;63327;3121
766;63328;3123
767;63329;3124
768;63330;3125
769;63331;3126
770;63332;3127
771;63333;3128
772;63334;3312
773;63335;3129
791;64199;3129
811;65243;3117
831;67598;3122
851;68164;3118
871;70937;3119
891;71013;3112
911;70947;3312
