ItemId;Class;SubClass
17;4;4
25;2;7
35;2;10
36;2;4
37;2;0
38;4;0
39;4;1
40;4;1
41;4;0
42;4;0
43;4;1
44;4;1
45;4;0
46;4;0
47;4;1
48;4;1
49;4;0
50;4;0
51;4;1
52;4;1
53;4;0
54;4;0
55;4;1
56;4;1
57;4;1
58;4;0
59;4;1
60;4;2
61;4;2
77;4;1
79;4;1
80;4;1
85;4;2
86;4;0
87;4;0
88;4;1
89;4;0
90;4;0
91;4;1
92;4;0
93;4;0
94;4;0
95;4;0
97;4;1
98;4;0
99;4;0
100;4;1
101;4;0
102;4;0
103;4;0
104;4;1
105;4;0
113;4;1
114;4;0
115;4;0
117;0;5
118;0;1
119;4;0
120;4;1
121;4;1
122;4;0
123;4;0
124;4;1
125;4;0
126;4;0
127;4;0
128;4;1
129;4;1
130;4;0
131;4;0
132;4;0
133;4;0
134;4;0
135;4;1
136;4;0
137;4;0
138;4;0
139;4;1
140;4;1
141;4;0
143;4;6
146;4;0
147;4;1
148;4;0
149;4;0
150;4;1
151;4;0
152;4;0
153;4;2
154;4;0
155;4;0
156;4;1
157;4;0
159;0;5
182;12;0
184;1;0
192;2;14
193;4;1
194;4;1
195;4;1
200;4;1
201;4;1
202;4;1
203;4;1
209;4;2
210;4;2
236;4;2
237;4;2
238;4;2
239;4;2
285;4;3
286;4;3
287;4;3
414;0;5
422;0;5
527;12;0
537;15;0
555;15;0
556;15;0
647;2;8
710;4;1
711;4;1
714;4;2
718;4;3
719;4;1
720;4;2
723;7;8
724;0;5
725;12;0
727;2;7
728;9;5
729;7;8
730;7;8
731;7;8
732;7;0
733;0;5
734;12;0
735;12;0
737;12;0
738;12;0
739;12;0
740;12;0
741;7;7
742;12;0
743;12;0
744;4;0
745;12;0
746;4;1
748;12;0
750;12;0
751;2;4
752;12;0
753;2;7
754;2;7
755;15;0
756;2;1
761;0;8
763;4;2
765;7;9
766;2;4
767;2;10
768;2;0
769;7;8
770;15;0
771;15;0
772;12;0
773;12;0
774;3;7
776;2;15
777;15;0
778;2;0
779;15;0
780;12;0
781;2;4
782;12;0
783;7;6
784;7;11
785;7;9
786;7;7
787;0;5
788;2;7
789;2;4
790;2;0
791;2;10
792;4;1
793;4;1
794;4;1
795;4;1
796;4;2
797;4;2
798;4;2
799;4;2
804;1;0
805;1;0
806;1;0
807;7;7
808;7;11
809;2;7
810;2;4
811;2;0
812;2;10
813;15;0
814;7;1
816;2;15
818;3;7
820;2;15
821;4;2
823;15;0
826;2;0
827;2;4
828;1;0
829;12;0
832;4;3
833;4;0
835;0;0
836;0;8
837;4;1
838;4;1
839;4;1
840;4;1
841;12;0
842;15;0
843;4;2
844;4;2
845;4;2
846;4;2
847;4;3
848;4;3
849;4;3
850;4;3
851;2;7
852;2;4
853;2;0
854;2;10
855;1;0
856;1;0
857;1;0
858;0;1
859;4;0
860;4;1
862;4;0
863;2;0
864;2;7
865;2;4
866;2;10
867;4;2
868;2;4
869;2;7
870;2;1
871;2;0
872;2;1
873;2;10
875;15;0
876;4;6
877;12;0
878;15;0
880;2;10
883;12;0
884;12;0
885;2;0
886;2;7
887;15;0
888;4;2
889;12;0
890;2;10
892;4;1
893;15;0
894;15;0
895;12;0
896;12;0
897;4;2
898;12;0
899;2;15
900;15;0
901;15;0
902;15;0
903;15;0
906;4;1
907;4;3
908;4;1
909;4;1
910;12;0
911;2;5
913;2;8
914;4;3
915;12;0
916;12;0
917;4;2
918;1;0
920;2;4
921;12;0
922;2;8
923;2;7
924;2;5
925;2;4
926;2;1
927;2;0
928;2;10
929;0;1
930;1;0
931;1;0
932;1;0
933;1;0
934;2;0
935;2;7
936;2;4
937;2;10
938;12;0
939;12;0
940;4;1
941;4;0
942;4;0
943;2;10
944;2;10
945;2;7
948;2;7
951;0;8
954;0;4
955;0;4
956;12;0
957;12;0
958;12;0
960;12;0
961;0;5
962;12;0
964;4;0
965;1;0
966;9;0
967;9;0
968;9;0
973;9;0
974;9;0
