itemid;iconname
224;INV_Jewelry_Ring_03
233;INV_Boots_01
242;INV_Boots_01
245;INV_Boots_01
249;INV_Boots_01
253;INV_Boots_01
257;INV_Boots_01
261;INV_Boots_01
292;INV_Potion_08
295;INV_Boots_02
302;INV_Boots_01
310;INV_Belt_01
311;INV_Boots_01
362;INV_Misc_Bag_01
365;INV_Pants_02
368;INV_Pants_02
369;INV_Shirt_01
370;INV_Pants_02
371;INV_Shirt_01
372;INV_Pants_02
373;INV_Shirt_01
374;INV_Pants_02
383;INV_Shirt_01
386;INV_Pants_02
387;INV_Shirt_01
392;INV_Pants_02
393;INV_Shirt_01
394;INV_Pants_02
395;INV_Shirt_01
396;INV_Pants_02
453;INV_Axe_01
472;INV_Staff_08
510;INV_Gauntlets_04
557;INV_Misc_Bowl_01
568;INV_Misc_MonsterScales_03
634;INV_Scroll_04
679;INV_Sword_04
683;INV_Pants_02
684;INV_Chest_Wolf
685;INV_Pants_03
687;INV_Pants_03
691;INV_Pants_02
697;INV_Pants_03
703;INV_Boots_Wolf
704;INV_Pants_Wolf
782;INV_Axe_04
811;INV_Scroll_03
845;INV_Boots_09
859;INV_Sword_04
918;INV_Misc_Book_09
920;INV_Misc_Eye_01
924;INV_Scroll_03
925;INV_Misc_Bag_01
926;INV_Potion_01
928;INV_Misc_Branch_01
929;INV_TradeskillItem_03
942;INV_Jewelry_Talisman_03
945;INV_Boots_09
954;INV_Chest_Chain
959;INV_Misc_MonsterFang_01
961;INV_Misc_Orb_04
963;INV_Jewelry_Ring_03
972;INV_Gauntlets_05
976;INV_Gauntlets_04
977;INV_Chest_Chain
981;INV_Misc_Bag_02
983;INV_Potion_09
989;INV_Chest_Wolf
992;INV_Scroll_01
1007;INV_Misc_Net_01
1013;INV_Scroll_02
1017;INV_Gauntlets_05
1019;INV_Chest_Chain
1020;INV_Boots_01
1022;INV_Hammer_04
1025;INV_Misc_Bag_05
1026;INV_Potion_09
1028;INV_Jewelry_Ring_02
1037;INV_Scroll_08
1041;INV_Misc_Food_10
1046;INV_Jewelry_Ring_01
1057;INV_Shoulder_08
1058;INV_Shoulder_08
1060;INV_Shoulder_02
1068;INV_Shoulder_02
1069;INV_Scroll_01
1080;INV_Chest_Fur.tga
1087;INV_Misc_Food_05
1093;INV_Scroll_07
1095;INV_Ammo_Arrow_01
1096;INV_Scroll_04
1097;INV_Scroll_05
1102;INV_Scroll_03
1103;INV_Misc_Book_07
1107;INV_Belt_01
1115;INV_Mace_01
1116;INV_Misc_Food_16
1118;INV_Misc_Food_16
1121;INV_Sword_04
1123;INV_Helmet_04
1124;INV_Helmet_04
1126;INV_Helmet_03
1127;INV_Helmet_03
1128;INV_Helmet_03
1129;INV_Helmet_03
1131;INV_Helmet_03
1134;INV_Misc_Book_10
1136;INV_Musket_03
1137;INV_Musket_03
1139;INV_Jewelry_Talisman_04
1143;INV_Misc_Book_09
1150;INV_Potion_08
1151;INV_Misc_MonsterFang_01
1155;INV_Misc_Book_08
1160;INV_Mace_01
1166;INV_Shield_09
1168;INV_Misc_Bag_10
1170;INV_Misc_Spyglass_03
1183;INV_Misc_Bag_10
1184;INV_Chest_Samurai
1201;INV_Staff_08
1208;INV_Misc_Fish_02
1215;INV_Potion_16
