SpellId;SpellNameDE;SpellNameEN
1;Word of Recall (OLD);Word of Recall (OLD)
3;Word of Mass Recall (OLD);Word of Mass Recall (OLD)
4;Wort des Rückrufs Anderer;Word of Recall Other
5;Todesberührung;Death Touch
7;Selbstmord;Suicide
10;Blizzard;Blizzard
13;Schwimmtempo (TEST);Swim Speed (TEST)
14;Manasauger;Mana Drain
17;Machtwort: Schild;Power Word: Shield
18;Selbstheilung;Heal Self (TEST)
22;Super-Essen (TEST);Super Food (TEST)
24;Große Selbstheilung;Major Heal Self (TEST)
25;Betäuben;Stun
26;Selbst binden (TEST);Bind Self (TEST)
27;Goldhain-Portal;Goldshire Portal
31;Goldhain-Teleporter;Teleport Goldshire
33;Westfall-Teleporter;Teleport Westfall
34;Dämmerwald-Teleporter;Teleport Duskwood
35;Teleporter von Elwynn;Teleport Elwynn
43;Berserker;Berserk
45;Kriegsdonner;War Stomp
53;Meucheln;Backstab
56;Betäuben;Stun
59;Normaler Bogenschuss (TEST);Normal bow shot (TEST)
65;Hast;Haste
66;Unsichtbarkeit;Invisibility
71;Verteidigungshaltung;Defensive Stance
75;Automatischer Schuss;Auto Shot
77;Schildkrötenpanzer;Turtle's Shell
78;Heldenhafter Stoß;Heroic Strike
81;Ausweichen;Dodge
89;Verkrüppeln;Cripple
91;Wilder Sturmangriff;Savage Assault
96;Zerstückeln;Dismember
99;Desorientierendes Gebrüll;Disorienting Roar
100;Sturmangriff;Charge
101;Straucheln;Trip
107;Blocken;Block
108;Entrinnen (DND);Evade (DND)
110;Zauber-Ablenkung (NYI);Spell Deflection (NYI)
111;Zeitverzerrung;Time Step
112;Magie reflektieren (TEST);Reflect Magic (TEST)
113;Eisketten;Chains of Ice
116;Frostblitz;Frostbolt
118;Verwandlung;Polymorph
120;Kältekegel;Cone of Cold
122;Frostnova;Frost Nova
126;Auge von Kilrogg;Eye of Kilrogg
130;Langsamer Fall;Slow Fall
133;Feuerball;Fireball
134;Feuerschild;Fire Shield
136;Tier heilen;Mend Pet
139;Erneuerung;Renew
172;Verderbnis;Corruption
184;Feuerschild;Fire Shield
196;Einhandäxte;One-Handed Axes
197;Zweihandäxte;Two-Handed Axes
198;Einhandstreitkolben;One-Handed Maces
199;Zweihandstreitkolben;Two-Handed Maces
200;Stangenwaffen;Polearms
201;Einhandschwerter;One-Handed Swords
202;Zweihandschwerter;Two-Handed Swords
203;Unbewaffnet;Unarmed
204;Verteidigung;Defense
227;Stäbe;Staves
228;Verwandlung: Huhn;Polymorph: Chicken
246;Verlangsamen;Slow
261;Skelett beschwören;Summon Skeleton
264;Bogen;Bows
265;Gebietstod (TEST);Area Death (TEST)
266;Schusswaffen;Guns
269;Feuerlauf-Auslöser (DNC);Walk of Fire Trigger (DNC)
271;Ruf der Leere;Call of the Void
324;Blitzschlagschild;Lightning Shield
331;Welle der Heilung;Healing Wave
339;Wucherwurzeln;Entangling Roots
348;Feuerbrand;Immolate
355;Spott;Taunt
370;Reinigen;Purge
379;Erdschild;Earth Shield
403;Blitzschlag;Lightning Bolt
408;Nierenhieb;Kidney Shot
421;Kettenblitzschlag;Chain Lightning
427;Kloster-Teleporter;Teleport Monastery
428;Mondbruch-Teleporter;Teleport Moonbrook
430;Trinken;Drink
431;Trinken;Drink
432;Trinken;Drink
433;Essen;Food
434;Essen;Food
435;Essen;Food
436;Mana wiederherstellen;Restore Mana
437;Mana wiederherstellen;Restore Mana
438;Mana wiederherstellen;Restore Mana
439;Heiltrank;Healing Potion
440;Heiltrank;Healing Potion
441;Heiltrank;Healing Potion
442;Teleporter zu Abtei von Nordhain;Teleport Northshire Abbey
443;Kasernen-Teleporter;Teleport Barracks
444;Leuchtturm-Teleporter;Teleport Lighthouse
445;Dunkelhain-Teleporter;Teleport Darkshire
446;Friedhof-Teleporter;Teleport Cemetary
447;Treantteleporter;Teleport Treant
458;Braunes Pferd;Brown Horse
459;Grauer Wolf;Gray Wolf
464;Aura-Überlappung TEST 2;Aura Overlap TEST 2
468;Schimmel;White Stallion
469;Befehlsruf;Commanding Shout
470;Rappe;Black Stallion
471;Palomino;Palamino
472;Schecke;Pinto
475;Fluch aufheben;Remove Curse
483;Erlernen;Learning
498;Göttlicher Schutz;Divine Protection
512;Eisketten;Chains of Ice
518;Wurm beschwören;Summon Worm
522;ZAUBERVERTEIDIGUNG (DND);SPELLDEFENSE (DND)
527;Läutern;Purify
528;Magiebannung;Dispel Magic
530;Bezauberung (Besitz ergreifen);Charm (Possess)
546;Wasserwandeln;Water Walking
550;Gift neutralisieren;Nullify Poison
556;Astraler Rückruf;Astral Recall
568;Arkane Wucht;Arcane Burst
578;Schwarzer Wolf;Black Wolf
579;Roter Wolf;Red Wolf
580;Waldwolf;Timber Wolf
581;Winterwolf;Winter Wolf
585;Heilige Pein;Smite
586;Verblassen;Fade
588;Inneres Feuer;Inner Fire
589;Schattenwort: Schmerz;Shadow Word: Pain
596;Gebet der Heilung;Prayer of Healing
603;Verdammnis;Doom
605;Gedankenkontrolle;Dominate Mind
606;Gedankenverfall;Mind Rot
633;Handauflegung;Lay on Hands
635;Heiliges Licht;Holy Light
642;Gottesschild;Divine Shield
668;Sprache Globalisch;Language Common
669;Sprache Orcisch;Language Orcish
670;Sprache Taurisch;Language Taurahe
671;Sprache Darnassisch;Language Darnassian
672;Sprache Zwergisch;Language Dwarven
673;Geringe Verteidigung;Minor Defense
674;Beidhändigkeit;Dual Wield
676;Entwaffnen;Disarm
686;Schattenblitz;Shadow Bolt
688;Wichtel beschwören;Summon Imp
689;Blutsauger;Drain Life
691;Teufelsjäger beschwören;Summon Felhunter
697;Leerwandler beschwören;Summon Voidwalker
698;Ritual der Beschwörung;Ritual of Summoning
700;Schlaf;Sleep
703;Erdrosseln;Garrote
710;Verbannen;Banish
712;Sukkubus beschwören;Summon Succubus
720;Umschlingen;Entangle
724;Lichtbrunnen;Lightwell
731;Umschlingen;Entangle
740;Gelassenheit;Tranquility
742;Pulverisieren;Pulverize
744;Gift;Poison
745;Gespinst;Web
746;Erste Hilfe;First Aid
747;Abbilder beschwören;Summon Images
750;Plattenpanzer;Plate Mail
755;Lebenslinie;Health Funnel
759;Manaedelstein herbeizaubern;Conjure Mana Gem
768;Katzengestalt;Cat Form
770;Feenfeuer;Faerie Fire
774;Verjüngung;Rejuvenation
779;Prankenhieb;Swipe
781;Rückzug;Disengage
783;Reisegestalt;Travel Form
785;Wahre Erfüllung;True Fulfillment
799;Zwillingsteleport;Twin Teleport
800;Zwillingsteleport;Twin Teleport
802;Käfer mutieren;Mutate Bug
804;Käfer explodieren lassen;Explode Bug
806;Inbrunst;Fervor
812;Regelmäßiger Manabrand;Periodic Mana Burn
813;Sprache Thalassisch;Language Thalassian
814;Sprache Drachisch;Language Draconic
815;Sprache Dämonisch;Language Demon Tongue
816;Sprache Titanisch;Language Titan
817;Sprache Alte Sprache (NYI);Language Old Tongue (NYI)
818;Kochfeuerstelle;Cooking Fire
822;Arkanwiderstand;Arcane Resistance
823;Naturwiderstand;Natural Resistance
824;Pferdreiten;Horse Riding
825;Wolfsreiten;Wolf Riding
826;Widderreiten;Ram Riding
827;Nachtmahrreiten;Nightmare Riding
828;Tigerreiten;Tiger Riding
829;Dickschädel;Thickskull
830;Furchtlos;Fearless
831;Schwimmen (NYI);Swimming (NYI)
833;Grüntee;Green Tea
835;Gezeitenglücksbringer;Tidal Charm
836;LOGINEFFEKT;LOGINEFFECT
845;Spalten;Cleave
851;Verwandlung: Schaf;Polymorph: Sheep
853;Hammer der Gerechtigkeit;Hammer of Justice
871;Schildwall;Shield Wall
879;Exorzismus;Exorcism
883;Begleiter 1 rufen;Call Pet 1
898;Inbrunst-Trank herstellen;Create Fervor Potion
921;Taschendiebstahl;Pick Pocket
932;Geist auffüllen II;Replenish Spirit II
952;Gletscher;Glacier
974;Erdschild;Earth Shield
980;Agonie;Agony
982;Tier wiederbeleben;Revive Pet
1022;Hand des Schutzes;Hand of Protection
1038;Hand der Erlösung;Hand of Salvation
1044;Hand der Freiheit;Hand of Freedom
1050;Opferung;Sacrifice
1064;Kettenheilung;Chain Heal
1066;Wassergestalt;Aquatic Form
1079;Zerfetzen;Rip
1090;Schlaf;Sleep
1098;Dämonensklave;Enslave Demon
1120;Seelendieb;Drain Soul
1121;Umschlingen;Entangle
1122;Höllenbestie beschwören;Summon Infernal
1126;Mal der Wildnis;Mark of the Wild
1127;Essen;Food
1129;Essen;Food
1130;Mal des Jägers;Hunter's Mark
1131;Essen;Food
1132;Kritischer Treffer;Critical Strike
1133;Trinken;Drink
1135;Trinken;Drink
1137;Trinken;Drink
1138;Kristallschutz;Crystal Protection
1139;Kaltauge;Cold Eye
1159;Erste Hilfe;First Aid
1160;Demoralisierender Ruf;Demoralizing Shout
1178;Bear Form Passive;Bear Form Passive
1180;Dolche;Daggers
1234;Joe's God Mode;Joe's God Mode
1329;Verstümmeln;Mutilate
1330;Erdrosseln - Stille;Garrote - Silence
1364;Unerschütterlicher Wille;Unyielding Will
1373;Teufelsjäger beschwören' lehren;Teach Summon Felhunter
1386;Echos von Lordaeron;Echoes of Lordaeron
1446;Wassergestalt;Aquatic Form
