id;spellid;iconname
6;3268;Achievement_Level_10
7;3269;Achievement_Level_20
8;3270;Achievement_Level_30
9;3271;Achievement_Level_40
10;3272;Achievement_Level_50
11;3273;Achievement_Level_60
12;3274;Achievement_Level_70
13;3275;Achievement_Level_80
15;1522;INV_Box_PetCarrier_01
16;1997;Ability_Warrior_SecondWind
31;3481;Achievement_Quests_Completed_Daily_x5
32;3415;Achievement_Quests_Completed_07
33;3336;Achievement_Zone_BoreanTundra_07
34;3337;Achievement_Zone_HowlingFjord_07
35;3338;Achievement_Zone_DragonBlight_07
36;3340;Achievement_Zone_ZulDrak_07
37;3339;Achievement_Zone_GrizzlyHills_07
38;3405;Achievement_Zone_StormPeaks_07
39;3341;Achievement_Zone_Sholazar_07
40;3474;Achievement_Zone_IceCrown_07
41;3493;Achievement_Zone_Northrend_01
42;3490;Achievement_Zone_EasternKingdoms_01
43;3491;Achievement_Zone_Kalimdor_01
44;3492;Achievement_Zone_Outland_01
45;3493;Achievement_Zone_Northrend_01
46;2759;INV_Misc_Map02
49;1;Trade_Engineering
50;1;Trade_Engineering
51;1;Trade_Engineering
52;1;Trade_Engineering
53;1;Trade_Engineering
54;1;Trade_Engineering
55;1;Trade_Engineering
56;1;Trade_Engineering
57;1;Trade_Engineering
58;1;Trade_Engineering
59;1;Trade_Engineering
60;1;Trade_Engineering
73;456;Ability_Warrior_BattleShout
94;0;#NV
95;0;#NV
97;0;#NV
98;0;#NV
99;4;Trade_Engineering
100;4;Trade_Engineering
101;4;Trade_Engineering
102;4;Trade_Engineering
103;4;Trade_Engineering
104;4;Trade_Engineering
105;4;Trade_Engineering
107;4;Trade_Engineering
108;4;Trade_Engineering
110;4;Trade_Engineering
112;4;Trade_Engineering
113;4;Trade_Engineering
114;4;Trade_Engineering
115;4;Trade_Engineering
116;2846;INV_Misc_Note_01
121;1467;INV_Misc_Food_15
122;1467;INV_Misc_Food_15
123;1467;INV_Misc_Food_15
124;1467;INV_Misc_Food_15
125;1467;INV_Misc_Food_15
126;580;Trade_Fishing
127;580;Trade_Fishing
128;580;Trade_Fishing
129;580;Trade_Fishing
130;580;Trade_Fishing
131;504;Spell_Holy_SealOfSacrifice
132;504;Spell_Holy_SealOfSacrifice
133;504;Spell_Holy_SealOfSacrifice
134;504;Spell_Holy_SealOfSacrifice
135;504;Spell_Holy_SealOfSacrifice
137;2497;INV_Misc_Bandage_04
141;2741;INV_Misc_SurgeonGlove_01
144;1734;Ability_Creature_Poison_05
150;2737;INV_Helmet_44
153;3694;Achievement_Profession_Fishing_JourneymanFisher
154;3381;Achievement_BG_winAB
155;3382;Achievement_BG_win_AB_X_times
156;3452;Achievement_BG_winAB_5cap
157;2205;Ability_Warrior_VictoryRush
158;3470;Achievement_BG_takeXflags_AB
159;3383;Achievement_BG_winAB_underXminutes
161;3468;Achievement_BG_overcome500disadvantage
162;1876;Spell_Shadow_ImprovedVampiricEmbrace
165;3469;Achievement_BG_ABshutout
166;3387;Achievement_BG_winWSG
167;3388;Achievement_BG_win_WSG_X_times
168;3485;Achievement_BG_winWSG_3-0
178;4;Trade_Engineering
181;4;Trade_Engineering
183;4;Trade_Engineering
189;4;Trade_Engineering
193;4;Trade_Engineering
197;4;Trade_Engineering
198;4;Trade_Engineering
199;3390;Achievement_BG_captureflag_WSG
200;3398;Achievement_BG_interruptX_flagcapture_attempts
201;3389;Achievement_BG_winWSG_underXminutes
202;3483;Achievement_BG_grab_cap_flagunderXseconds
203;3583;Achievement_BG_KillFlagCarriers_grabFlag_CapIt
204;3482;Achievement_BG_3flagcap_nodeaths
206;3400;Achievement_BG_kill_flag_carrierWSG
207;2119;Ability_Rogue_SurpriseAttack
208;3384;Achievement_BG_winEOS
209;3385;Achievement_BG_win_EOS_X_times
211;3508;Achievement_BG_hld4bases_EOS
212;3391;Achievement_BG_captureflag_EOS
213;3401;Achievement_BG_kill_flag_carrierEOS
214;3386;Achievement_BG_winEOS_underXminutes
216;2267;Spell_Arcane_MassDispel
218;3377;Achievement_BG_winAV
219;3378;Achievement_BG_win_AV_X_times
220;2897;INV_Jewelry_StormPikeTrinket_03
221;3379;Achievement_BG_Xkills_AVgraveyard
222;3581;Achievement_BG_DefendXtowers_AV
223;3434;Achievement_BG_kill_on_mount
224;3582;Achievement_BG_KillXEnemies_GeneralsRoom
225;3433;Achievement_BG_winAV_bothmines
226;3380;Achievement_BG_winAV_underXminutes
227;3422;Achievement_BG_topDPS
229;1933;Spell_Shadow_NetherCloak
230;3372;Achievement_PVP_A_15
231;2770;Ability_Warrior_Trauma
233;38;Spell_Nature_BloodLust
238;3454;Achievement_PVP_P_01
239;3460;Achievement_PVP_P_11
245;244;Ability_CheapShot
246;245;Ability_Gouge
247;1853;Spell_BrokenHeart
248;3712;INV_Shirt_08
249;3713;INV_Chest_Cloth_04
252;3679;Achievement_WorldEvent_LittleHelper
255;1817;INV_Misc_Food_59
259;1665;INV_Ammo_Snowball
260;4134;inv_jewelry_necklace_43
263;94;Spell_Frost_SummonWaterElemental
271;3262;Ability_Mage_FireStarter
272;2944;INV_Torch_Thrown
273;3703;Achievement_WorldEvent_Reindeer
275;2525;INV_Misc_Toy_01
277;1789;INV_Food_ChristmasFruitCake_01
279;3190;INV_Helmet_68
281;1;Trade_Engineering
283;3513;Achievement_Halloween_Ghost_01
284;2953;INV_Mask_04
288;97;Spell_Shadow_PlagueCloud
289;3512;Achievement_Halloween_Bat_01
291;2528;INV_Misc_Bag_28_Halloween
292;3511;Achievement_Halloween_Cat_01
293;2518;INV_Misc_Beer_01
295;2788;INV_Misc_Head_Dwarf_01
303;354;INV_Cask_01
306;577;INV_Misc_Fish_06
318;4;Trade_Engineering
319;4;Trade_Engineering
320;4;Trade_Engineering
321;4;Trade_Engineering
326;4;Trade_Engineering
328;4;Trade_Engineering
329;4;Trade_Engineering
330;4;Trade_Engineering
331;4;Trade_Engineering
332;4;Trade_Engineering
333;4;Trade_Engineering
334;4;Trade_Engineering
338;4;Trade_Engineering
339;4;Trade_Engineering
341;4;Trade_Engineering
342;4;Trade_Engineering
344;4;Trade_Engineering
345;4;Trade_Engineering
346;4;Trade_Engineering
347;4;Trade_Engineering
349;4;Trade_Engineering
350;4;Trade_Engineering
353;4;Trade_Engineering
362;4;Trade_Engineering
363;4;Trade_Engineering
364;4;Trade_Engineering
365;4;Trade_Engineering
366;4;Trade_Engineering
367;4;Trade_Engineering
370;4;Trade_Engineering
374;4;Trade_Engineering
377;4;Trade_Engineering
378;4;Trade_Engineering
381;4;Trade_Engineering
382;4;Trade_Engineering
383;4;Trade_Engineering
388;3574;Achievement_PVP_A_A
389;2977;INV_Misc_ArmorKit_14
393;1243604;inv_pet_achievement_defeatwildpettamers_pandaria
394;1243604;inv_pet_achievement_defeatwildpettamers_pandaria
395;1243604;inv_pet_achievement_defeatwildpettamers_pandaria
396;2555;INV_Misc_ArmorKit_04
397;3601;Achievement_FeatsOfStrength_Gladiator_10
398;3593;Achievement_FeatsOfStrength_Gladiator_01
399;3039;Achievement_Arena_2v2_1
400;3038;Achievement_Arena_2v2_4
401;3037;Achievement_Arena_2v2_5
402;3050;Achievement_Arena_3v3_1
403;3049;Achievement_Arena_3v3_4
404;3044;Achievement_Arena_5v5_5
405;3048;Achievement_Arena_3v3_5
406;3046;Achievement_Arena_5v5_1
407;3045;Achievement_Arena_5v5_4
408;11;Spell_Fire_Fire
409;2176;Spell_Holy_SurgeOfLight
411;2316;INV_Egg_03
412;1751;INV_Misc_Head_Murloc_01
414;2657;INV_Sword_07
415;3895;ability_mount_bigblizzardbear
416;3567;Achievement_Zone_Silithus_01
418;3593;Achievement_FeatsOfStrength_Gladiator_01
419;3594;Achievement_FeatsOfStrength_Gladiator_02
420;3595;Achievement_FeatsOfStrength_Gladiator_03
424;1812;INV_Misc_QirajiCrystal_02
425;2757;INV_Staff_Medivh
426;2596;INV_Weapon_Glave_01
428;2756;INV_Sword_39
429;2444;INV_Hammer_Unique_Sulfuras
430;957;Ability_Druid_ChallangingRoar
431;2570;INV_Mace_25
432;2843;INV_Mace_51
433;3371;Achievement_PVP_A_14
434;3370;Achievement_PVP_A_13
435;3368;Achievement_PVP_A_11
436;3367;Achievement_PVP_A_10
437;3366;Achievement_PVP_A_09
438;3365;Achievement_PVP_A_08
439;3363;Achievement_PVP_A_06
440;3362;Achievement_PVP_A_05
441;3361;Achievement_PVP_A_04
442;3358;Achievement_PVP_A_01
443;3357;Achievement_PVP_H_14
444;3354;Achievement_PVP_H_11
445;3356;Achievement_PVP_H_13
446;3355;Achievement_PVP_H_12
447;3353;Achievement_PVP_H_10
448;3352;Achievement_PVP_H_09
449;3350;Achievement_PVP_H_07
450;3347;Achievement_PVP_H_04
451;3349;Achievement_PVP_H_06
452;3348;Achievement_PVP_H_05
453;3346;Achievement_PVP_H_03
454;3344;Achievement_PVP_H_01
456;3308;Achievement_Dungeon_CoABlackDragonflight_25man
457;3275;Achievement_Level_80
458;1834;INV_ThrowingKnife_04
459;1462;INV_Sword_27
460;2832;INV_Staff_13
461;2639;Spell_Deathknight_ClassIcon
462;2831;INV_Weapon_Bow_07
463;155;Spell_Nature_Drowsy
464;1523;INV_Staff_30
465;25;Ability_ThunderBolt
466;261;Ability_Druid_Maul
467;38;Spell_Nature_BloodLust
468;3345;Achievement_PVP_H_02
469;3351;Achievement_PVP_H_08
470;3359;Achievement_PVP_A_02
471;3360;Achievement_PVP_A_03
472;3364;Achievement_PVP_A_07
473;3369;Achievement_PVP_A_12
477;3226;Achievement_Dungeon_UtgardeKeep_Normal
478;3227;Achievement_Dungeon_Nexus70_Normal
479;3248;Achievement_Dungeon_CoTStratholme_Normal
480;3229;Achievement_Dungeon_AzjolUppercity_Normal
481;3231;Achievement_Dungeon_AzjolLowercity_Normal
482;3233;Achievement_Dungeon_Drak'Tharon_Normal
483;3235;Achievement_Dungeon_TheVioletHold_Normal
484;3237;Achievement_Dungeon_Gundrak_Normal
485;3239;Achievement_Dungeon_Ulduar77_Normal
486;3241;Achievement_Dungeon_Ulduar80_Normal
487;3243;Achievement_Dungeon_Nexus80_Normal
488;3245;Achievement_Dungeon_UtgardePinnacle_Normal
489;3225;Achievement_Dungeon_UtgardeKeep_Heroic
490;3228;Achievement_Dungeon_Nexus70_Heroic
491;3230;Achievement_Dungeon_AzjolUppercity_Heroic
492;3232;Achievement_Dungeon_AzjolLowercity_Heroic
493;3234;Achievement_Dungeon_Drak'Tharon_Heroic
494;3236;Achievement_Dungeon_TheVioletHold_Heroic
495;3238;Achievement_Dungeon_Gundrak_Heroic
496;3240;Achievement_Dungeon_Ulduar77_Heroic
497;3242;Achievement_Dungeon_Ulduar80_Heroic
498;3244;Achievement_Dungeon_Nexus80_Heroic
499;3246;Achievement_Dungeon_UtgardePinnacle_Heroic
500;3249;Achievement_Dungeon_CoTStratholme_Heroic
503;3421;Achievement_Quests_Completed_01
504;3420;Achievement_Quests_Completed_02
505;3419;Achievement_Quests_Completed_03
506;3418;Achievement_Quests_Completed_04
507;3417;Achievement_Quests_Completed_05
508;3416;Achievement_Quests_Completed_06
509;3462;Achievement_PVP_P_09
512;3459;Achievement_PVP_P_06
513;3455;Achievement_PVP_P_02
515;3456;Achievement_PVP_P_03
516;3457;Achievement_PVP_P_04
518;3604;Achievement_Reputation_06
519;3605;Achievement_Reputation_05
520;3606;Achievement_Reputation_04
521;3607;Achievement_Reputation_03
522;3609;Achievement_Reputation_01
523;3609;Achievement_Reputation_01
524;3608;Achievement_Reputation_02
527;1;Trade_Engineering
528;1;Trade_Engineering
529;1;Trade_Engineering
545;2766;INV_Misc_Comb_02
546;2492;INV_Box_01
547;3475;Achievement_Zone_IceCrown_05
556;2808;INV_Enchant_VoidCrystal
