avid;avname;avdesc;avcat;
6;Stufe 10;Erreicht Stufe 10.;92;
7;Stufe 20;Erreicht Stufe 20.;92;
8;Stufe 30;Erreicht Stufe 30.;92;
9;Stufe 40;Erreicht Stufe 40.;92;
10;Stufe 50;Erreicht Stufe 50.;92;
11;Stufe 60;Erreicht Stufe 60.;92;
12;Stufe 70;Erreicht Stufe 70.;92;
13;Stufe 80;Erreicht Stufe 80.;92;
15;Jede Menge Haustiere;Sammelt 15 einzigartige Haustiere.;15118;
16;Hat jemand ein Veilchen bestellt?;Erreicht eine unbewaffnete Fertigkeit von 400.;81;
31;Alltägliches;Schließt an fünf aufeinander folgenden Tagen eine tägliche Quest ab.;96;
32;2.000 Quests abgeschlossen;Schließt 2.000 Quests ab.;96;
33;Rauf und runter in der Tundra;Schließt 130 Quests der Boreanischen Tundra ab.;14863;
34;Ich hab' den Fjord umrundet;Schließt 130 Quests im Heulenden Fjord ab.;14863;
35;Nichts ist öde in der Öde;Schließt 115 Quests der Drachenöde ab.;14863;
36;Das Imperium von Zul'Drak;Schließt 100 Quests in Zul'Drak ab.;14863;
37;Nich' zu zügeln in den Hügeln;Schließt 85 Quests in den Grizzlyhügeln ab.;14863;
38;Der Gipfel der Sturmgipfel;Schließt 100 Quests der Sturmgipfel ab.;14863;
39;Ab ins Becken;Schließt 75 Quests des Sholazarbeckens ab.;14863;
40;Eiskrone: Das letzte Ziel;Schließt 140 Quests der Eiskrone ab.;14863;
41;Meister der Lehren von Nordend;Schließt die unten aufgelisteten Questerfolge in Nordend ab.;14863;
42;Erkundet die Östlichen Königreiche;Erkundet die Regionen der Östlichen Königreiche.;97;
43;Erkundet Kalimdor;Erkundet die Regionen Kalimdors.;97;
44;Erkundet die Scherbenwelt;Erkundet die Regionen der Scherbenwelt.;97;
45;Erkundet Nordend;Erkundet die Regionen von Nordend.;97;
46;Weltenbummler;Erkundet die Östlichen Königreiche, Kalimdor, Nordend, die Scherbenwelt, die vom Kataklysmus freigelegten Gebiete und Pandaria.;97;
49;Siege im Alteractal;Siege im Alteractal;153;
50;Siege im Auge des Sturms;Siege im Auge des Sturms;153;
51;Siege im Arathibecken;Siege im Arathibecken;153;
52;Schlachten in der Kriegshymnenschlucht;Schlachten in der Kriegshymnenschlucht;153;
53;Schlachten im Alteractal;Schlachten im Alteractal;153;
54;Schlachten im Auge des Sturms;Schlachten im Auge des Sturms;153;
55;Schlachten im Arathibecken;Schlachten im Arathibecken;153;
56;Tode in der Kriegshymnenschlucht;Tode in der Kriegshymnenschlucht;124;
57;Tode im Alteractal;Tode im Alteractal;124;
58;Tode durch Drek'Thar;Tode durch Drek'Thar;124;
59;Tode im Arathibecken;Tode im Arathibecken;124;
60;Tode insgesamt;Tode insgesamt;122;
